game_player_id,game_id,game,round,phase,season_code,player_id,is_starter,is_playing,team_id,dorsal,player,points,two_points_made,two_points_attempted,three_points_made,three_points_attempted,free_throws_made,free_throws_attempted,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,turnovers,blocks_favour,blocks_against,fouls_committed,fouls_received,valuation,plus_minus,season_year,minutes_played
U2007_171_PLO,U2007_171,PLO-CHA,7,REGULAR SEASON,U2007,PLO,False,True,PLO,TOTAL,Ploiesti,80,26,42,5,15,13,20,6,28,34,8,3,16,8,4,20,22,82,0,2007,200.0
U2007_171_CHA,U2007_171,PLO-CHA,7,REGULAR SEASON,U2007,CHA,False,True,CHA,TOTAL,Spirou Basket,71,25,53,3,12,12,19,7,24,31,12,8,11,5,6,24,19,61,0,2007,200.0
U2007_265_ASK,U2007_265,ASK-TRE,10,REGULAR SEASON,U2007,ASK,False,True,ASK,TOTAL,Ask Riga,80,24,44,6,20,14,20,9,19,28,11,8,7,5,2,22,19,80,0,2007,200.0
U2007_265_TRE,U2007_265,ASK-TRE,10,REGULAR SEASON,U2007,TRE,False,True,TRE,TOTAL,Benetton Basket Treviso,83,21,44,9,16,14,19,8,24,32,14,5,12,2,5,20,22,86,0,2007,200.0
U2007_174_WLO,U2007_174,WLO-FRA,7,REGULAR SEASON,U2007,WLO,False,True,WLO,TOTAL,Anwil Wloclawek,87,26,45,7,20,14,16,13,22,35,16,9,11,1,0,27,19,95,0,2007,200.0
U2007_174_FRA,U2007_174,WLO-FRA,7,REGULAR SEASON,U2007,FRA,False,True,FRA,TOTAL,Deutsche Bank Skyliners,64,17,34,2,14,24,29,8,17,25,6,6,14,0,1,19,26,59,0,2007,200.0
U2007_194_BES,U2007_194,BES-ZEL,8,REGULAR SEASON,U2007,BES,False,True,BES,TOTAL,Besiktas Cola Turka,77,19,41,4,17,27,31,7,23,30,13,13,14,2,4,27,25,76,0,2007,200.0
U2007_194_ZEL,U2007_194,BES-ZEL,8,REGULAR SEASON,U2007,ZEL,False,True,ZEL,TOTAL,Bc Fmp,76,19,44,6,16,20,27,12,25,37,11,7,21,4,2,26,27,71,0,2007,200.0
U2007_255_FRA,U2007_255,FRA-AZO,10,REGULAR SEASON,U2007,FRA,False,True,FRA,TOTAL,Deutsche Bank Skyliners,63,16,33,8,28,7,10,9,20,29,15,5,13,3,5,26,15,46,0,2007,200.0
U2007_255_AZO,U2007_255,FRA-AZO,10,REGULAR SEASON,U2007,AZO,False,True,AZO,TOTAL,Azovmash Mariupol,72,18,40,3,16,27,37,15,23,38,9,5,12,5,3,15,25,79,0,2007,200.0
U2007_112_ZEL,U2007_112,ZEL-VEN,5,REGULAR SEASON,U2007,ZEL,False,True,ZEL,TOTAL,Bc Fmp,70,19,41,5,18,17,19,9,17,26,9,7,11,1,4,24,25,62,0,2007,200.0
U2007_112_VEN,U2007_112,ZEL-VEN,5,REGULAR SEASON,U2007,VEN,False,True,VEN,TOTAL,Bk Ventspils,76,16,26,9,19,17,22,4,18,22,10,6,20,4,1,25,23,70,0,2007,200.0
U2007_042_ANT,U2007_042,ANT-BUD,2,REGULAR SEASON,U2007,ANT,False,True,ANT,TOTAL,Antwerp Giants,76,17,36,6,14,24,27,7,10,17,12,18,17,1,0,21,29,85,0,2007,200.0
U2007_042_BUD,U2007_042,ANT-BUD,2,REGULAR SEASON,U2007,BUD,False,True,BUD,TOTAL,Kk Buducnost,79,25,38,4,14,17,20,10,19,29,7,11,22,0,1,29,19,67,0,2007,200.0
U2007_105_ART,U2007_105,ART-TRE,4,REGULAR SEASON,U2007,ART,False,True,ART,TOTAL,Artland Dragons,84,22,32,8,21,16,23,8,24,32,17,8,17,4,1,20,18,95,0,2007,200.0
U2007_105_TRE,U2007_105,ART-TRE,4,REGULAR SEASON,U2007,TRE,False,True,TRE,TOTAL,Benetton Basket Treviso,79,15,34,12,23,13,19,4,12,16,12,9,13,1,4,18,20,66,0,2007,200.0
